Date,Price
8-Aug-19,0.938
7-Aug-19,0.947
6-Aug-19,0.918
5-Aug-19,0.91
4-Aug-19,0.909
1-Aug-19,0.936
31-Jul-19,0.945
30-Jul-19,0.95
29-Jul-19,0.904
28-Jul-19,0.851
25-Jul-19,0.84
24-Jul-19,0.839
23-Jul-19,0.78
22-Jul-19,0.755
21-Jul-19,0.75
18-Jul-19,0.761
17-Jul-19,0.723
16-Jul-19,0.725
15-Jul-19,0.722
14-Jul-19,0.72
11-Jul-19,0.712
10-Jul-19,0.711
9-Jul-19,0.715
8-Jul-19,0.707
7-Jul-19,0.705
4-Jul-19,0.704
3-Jul-19,0.71
2-Jul-19,0.71
1-Jul-19,0.705
30-Jun-19,0.71
27-Jun-19,0.706
26-Jun-19,0.713
25-Jun-19,0.705
24-Jun-19,0.703
23-Jun-19,0.707
20-Jun-19,0.717
19-Jun-19,0.703
18-Jun-19,0.697
17-Jun-19,0.703
16-Jun-19,0.697
13-Jun-19,0.71
12-Jun-19,0.718
11-Jun-19,0.72
10-Jun-19,0.725
9-Jun-19,0.72
30-May-19,0.711
29-May-19,0.712
28-May-19,0.7
27-May-19,0.685
26-May-19,0.69
23-May-19,0.692
22-May-19,0.694
21-May-19,0.679
20-May-19,0.655
19-May-19,0.66
16-May-19,0.69
15-May-19,0.695
14-May-19,0.729
13-May-19,0.67
12-May-19,0.721
9-May-19,0.751
8-May-19,0.74
7-May-19,0.75
6-May-19,0.767
5-May-19,0.766
2-May-19,0.782
1-May-19,0.771
30-Apr-19,0.771
29-Apr-19,0.771
28-Apr-19,0.792
25-Apr-19,0.798
24-Apr-19,0.795
23-Apr-19,0.798
22-Apr-19,0.815
21-Apr-19,0.83
18-Apr-19,0.825
17-Apr-19,0.818
16-Apr-19,0.795
15-Apr-19,0.802
14-Apr-19,0.788
11-Apr-19,0.782
10-Apr-19,0.8
9-Apr-19,0.783
8-Apr-19,0.769
7-Apr-19,0.76
4-Apr-19,0.76
3-Apr-19,0.76
2-Apr-19,0.757
1-Apr-19,0.765
31-Mar-19,0.722
28-Mar-19,0.737
27-Mar-19,0.735
26-Mar-19,0.738
25-Mar-19,0.737
24-Mar-19,0.75
21-Mar-19,0.755
20-Mar-19,0.767
