Date,Price
7/1/2009,1.7
7/2/2009,1.71
7/5/2009,1.62
7/6/2009,1.55
7/7/2009,1.63
7/8/2009,1.51
7/9/2009,1.43
7/12/2009,1.44
7/13/2009,1.36
7/14/2009,1.46
7/15/2009,1.48
7/16/2009,1.57
7/20/2009,1.62
7/21/2009,1.55
7/22/2009,1.56
7/23/2009,1.57
7/26/2009,1.76
7/27/2009,1.72
7/28/2009,1.73
7/29/2009,1.68
7/30/2009,1.72
8/2/2009,1.73
8/3/2009,1.8
8/4/2009,1.79
8/5/2009,1.82
8/6/2009,1.81
8/9/2009,1.81
8/10/2009,1.81
8/11/2009,1.84
8/12/2009,1.72
8/13/2009,1.8
8/16/2009,1.75
8/17/2009,1.58
8/18/2009,1.69
8/19/2009,1.68
8/20/2009,1.75
8/23/2009,1.78
8/24/2009,1.77
8/25/2009,1.78
8/26/2009,1.81
8/27/2009,1.8
8/30/2009,1.84
8/31/2009,1.83
9/1/2009,1.8
9/2/2009,1.79
9/3/2009,1.84
9/6/2009,1.87
9/7/2009,1.94
9/8/2009,1.96
9/9/2009,1.94
9/10/2009,1.97
9/13/2009,1.95
9/14/2009,1.91
9/15/2009,1.94
9/16/2009,2
9/17/2009,2.21
9/23/2009,2.45
9/24/2009,2.4
9/27/2009,2.4
9/28/2009,2.31
9/29/2009,2.35
9/30/2009,2.38
10/1/2009,2.38
10/4/2009,2.38
10/5/2009,2.48
10/6/2009,2.53
10/7/2009,2.47
10/8/2009,2.52
10/11/2009,2.56
10/12/2009,2.65
10/13/2009,2.56
10/14/2009,2.68
10/15/2009,2.67
10/18/2009,2.56
10/19/2009,2.63
10/20/2009,2.57
10/21/2009,2.5
10/22/2009,2.5
10/25/2009,2.49
10/26/2009,2.65
10/27/2009,2.62
10/28/2009,2.56
10/29/2009,2.34
11/1/2009,2.14
11/2/2009,2.33
11/3/2009,2.11
11/4/2009,2.23
11/5/2009,2.22
11/8/2009,2.22
11/9/2009,2.28
11/10/2009,2.33
11/11/2009,2.38
11/12/2009,2.32
11/15/2009,2.29
11/16/2009,2.34
11/17/2009,2.3
11/18/2009,2.27
11/19/2009,2.2
11/22/2009,2.12
11/23/2009,2.21
11/24/2009,2.13
11/25/2009,2.17
11/30/2009,1.96
12/1/2009,1.77
12/6/2009,1.86
12/7/2009,1.68
12/8/2009,1.52
12/9/2009,1.37
12/10/2009,1.57
12/13/2009,1.69
12/14/2009,1.94
12/15/2009,1.88
12/16/2009,1.95
12/17/2009,1.91
12/20/2009,1.82
12/21/2009,1.86
12/22/2009,1.88
12/23/2009,1.79
12/24/2009,1.83
12/27/2009,1.86
12/28/2009,1.95
12/29/2009,1.85
12/30/2009,1.86
12/31/2009,1.88
1/3/2010,1.97
1/4/2010,1.89
1/5/2010,1.88
1/6/2010,1.88
1/7/2010,1.89
1/10/2010,1.87
1/11/2010,1.85
1/12/2010,1.81
1/13/2010,1.69
1/14/2010,1.69
1/17/2010,1.61
1/18/2010,1.65
1/19/2010,1.61
1/20/2010,1.63
1/21/2010,1.59
1/24/2010,1.44
1/25/2010,1.55
1/26/2010,1.45
1/27/2010,1.49
1/28/2010,1.58
1/31/2010,1.55
2/1/2010,1.59
2/2/2010,1.64
2/3/2010,1.65
2/4/2010,1.64
2/7/2010,1.6
2/8/2010,1.62
2/9/2010,1.62
2/10/2010,1.57
2/11/2010,1.59
2/14/2010,1.5
2/15/2010,1.49
2/16/2010,1.53
2/17/2010,1.52
2/18/2010,1.51
2/21/2010,1.52
2/22/2010,1.5
2/23/2010,1.45
2/24/2010,1.41
2/25/2010,1.43
2/28/2010,1.45
3/1/2010,1.44
3/2/2010,1.43
3/3/2010,1.41
3/4/2010,1.41
3/7/2010,1.45
3/8/2010,1.5
3/9/2010,1.55
3/10/2010,1.59
3/11/2010,1.66
3/14/2010,1.82
3/15/2010,1.8
3/16/2010,1.85
3/17/2010,1.71
3/18/2010,1.74
3/21/2010,1.85
3/22/2010,1.81
3/23/2010,1.83
3/24/2010,1.8
3/25/2010,1.94
3/28/2010,1.97
3/29/2010,1.88
3/30/2010,1.91
3/31/2010,1.9
4/1/2010,1.92
4/4/2010,1.98
4/5/2010,1.99
4/6/2010,1.97
4/7/2010,1.92
4/8/2010,1.87
4/11/2010,1.96
4/12/2010,1.98
4/13/2010,1.95
4/14/2010,1.97
4/15/2010,1.95
4/18/2010,1.9
4/19/2010,1.85
4/20/2010,1.86
4/21/2010,1.81
4/22/2010,1.85
4/25/2010,1.82
4/26/2010,1.8
4/27/2010,1.76
4/28/2010,1.69
4/29/2010,1.77
5/2/2010,1.73
5/3/2010,1.74
5/4/2010,1.74
5/5/2010,1.75
5/6/2010,1.72
5/9/2010,1.71
5/10/2010,1.79
5/11/2010,1.74
5/12/2010,1.75
5/13/2010,1.73
5/16/2010,1.71
5/17/2010,1.74
5/18/2010,1.75
5/19/2010,1.71
5/20/2010,1.71
5/23/2010,1.7
5/24/2010,1.65
5/25/2010,1.55
5/26/2010,1.59
5/27/2010,1.61
5/30/2010,1.63
5/31/2010,1.59
6/1/2010,1.54
6/2/2010,1.59
6/3/2010,1.58
6/6/2010,1.54
6/7/2010,1.55
6/8/2010,1.54
6/9/2010,1.54
6/10/2010,1.54
6/13/2010,1.57
6/14/2010,1.54
6/15/2010,1.51
6/16/2010,1.49
6/17/2010,1.49
6/20/2010,1.58
6/21/2010,1.61
6/22/2010,1.56
6/23/2010,1.57
6/24/2010,1.55
6/27/2010,1.55
6/28/2010,1.52
6/29/2010,1.46
6/30/2010,1.43
7/1/2010,1.45
7/4/2010,1.44
7/5/2010,1.46
7/6/2010,1.5
7/7/2010,1.46
7/8/2010,1.48
7/11/2010,1.5
7/12/2010,1.49
7/13/2010,1.49
7/14/2010,1.48
7/15/2010,1.51
7/18/2010,1.49
7/19/2010,1.5
7/20/2010,1.5
7/21/2010,1.51
7/22/2010,1.52
7/25/2010,1.47
7/26/2010,1.47
7/27/2010,1.46
7/28/2010,1.47
7/29/2010,1.46
8/1/2010,1.46
8/2/2010,1.45
8/3/2010,1.49
8/4/2010,1.46
8/5/2010,1.48
8/8/2010,1.45
8/9/2010,1.46
8/10/2010,1.45
8/11/2010,1.44
8/12/2010,1.44
8/15/2010,1.42
8/16/2010,1.46
8/17/2010,1.47
8/18/2010,1.46
8/19/2010,1.47
8/22/2010,1.46
8/23/2010,1.47
8/24/2010,1.46
8/25/2010,1.45
8/26/2010,1.47
8/29/2010,1.47
8/30/2010,1.44
8/31/2010,1.43
9/1/2010,1.44
9/2/2010,1.45
9/5/2010,1.52
9/6/2010,1.6
9/7/2010,1.66
9/13/2010,1.76
9/14/2010,1.76
9/15/2010,1.76
9/16/2010,1.78
9/19/2010,1.83
9/20/2010,1.81
9/21/2010,1.8
9/22/2010,1.75
9/23/2010,1.75
9/26/2010,1.82
9/27/2010,1.77
9/28/2010,1.77
9/29/2010,1.79
9/30/2010,1.75
10/3/2010,1.76
10/4/2010,1.76
10/5/2010,1.77
10/6/2010,1.8
10/7/2010,1.83
10/10/2010,1.86
10/11/2010,1.85
10/12/2010,1.83
10/13/2010,1.84
10/14/2010,1.82
10/17/2010,1.8
10/18/2010,1.79
10/19/2010,1.79
10/20/2010,1.8
10/21/2010,1.76
10/24/2010,1.78
10/25/2010,1.77
10/26/2010,1.76
10/27/2010,1.71
10/28/2010,1.76
10/31/2010,1.74
